Steps,array0,array1,array2
729,490,509,738
730,492,509,745
731,495,511,740
732,495,512,741
733,494,509,742
734,496,510,739
735,496,511,739
736,497,511,737
737,493,509,736
738,498,511,737
739,496,510,730
740,495,512,723
741,498,512,718
742,502,515,702
743,515,539,677
744,470,621,670
745,447,755,796
746,568,176,1007
747,492,10,1007
748,453,498,297
749,529,580,321
750,507,540,377
751,524,440,517
752,509,446,563
753,518,464,613
754,524,554,620
755,534,580,630
756,526,589,649
757,509,593,692
758,505,592,704
759,510,596,726
760,499,599,734
761,509,589,744
762,507,587,740
763,511,590,724
764,512,586,723
765,505,587,722
766,506,586,732
767,509,593,731
768,507,587,733
769,514,589,721
770,513,589,723
771,513,586,721
772,515,589,713
773,510,590,725
774,510,586,731
775,512,585,729
776,511,591,723
777,510,590,721
778,513,585,723
779,509,586,724
780,513,581,724
781,510,578,723
782,508,585,716
783,507,586,707
784,516,583,709
785,506,579,710
786,509,579,715
787,507,575,717
788,503,569,719
789,512,568,725
790,503,568,734
791,504,577,733
792,507,577,733
793,501,571,735
794,502,571,735
795,508,569,740
796,486,564,731
797,503,565,733
798,499,564,732
799,485,560,728
800,490,556,740
801,481,559,737
802,482,553,731
803,478,555,736
804,473,557,729
805,494,556,731
806,476,559,726
807,482,557,732
808,485,551,726
809,483,553,736
810,483,551,733
811,482,552,725
812,482,545,731
813,481,545,727
814,480,542,732
815,476,540,731
816,482,540,734
817,483,536,735
818,484,538,744
819,478,541,739
820,472,541,746
821,485,544,733
822,481,538,741
823,484,539,740
824,484,533,745
825,479,529,748
826,482,527,741
827,471,531,739
828,470,528,748
829,481,530,735
830,479,525,741
831,483,521,741
832,483,521,734
833,486,521,742
834,489,519,744
835,487,523,739
836,487,518,742
837,487,518,741
838,489,521,735
839,488,521,741
840,489,521,737
841,490,520,734
842,492,520,735
843,494,522,735
844,490,524,735
845,496,521,739
846,499,519,745
847,496,517,742
848,493,520,735
849,495,516,738
850,493,516,739
851,494,517,736
852,493,518,737
853,494,520,740
854,494,520,739
855,496,524,732
856,496,521,738
857,498,519,746
858,498,520,745
859,496,518,745
860,495,519,745
861,495,517,745
862,498,518,743
863,496,517,746
864,498,518,740
865,498,517,740
866,494,518,738
867,496,515,740
868,495,516,740
869,497,515,738
870,496,515,737
871,496,517,740
872,496,517,737
873,496,517,739
874,497,517,740
875,495,517,739
876,495,518,736
877,496,519,734
878,493,518,739
879,500,512,743
880,496,513,741
881,496,515,740
882,498,516,735
883,498,518,735
884,499,518,736
885,501,517,738
886,497,513,740
887,500,517,740
888,498,519,733
889,499,518,734
890,499,517,736
891,500,515,737
892,500,514,738
893,498,514,733
894,501,527,705
895,497,549,692
896,513,661,535
897,449,540,927
898,717,12,1007
899,802,11,1007
900,370,393,210
901,502,586,118
902,548,526,286
