Steps,array0,array1,array2
922,505,557,747
923,504,571,736
924,515,574,728
925,527,587,735
926,516,602,712
927,520,630,699
928,548,632,716
929,542,630,692
930,499,655,683
931,503,638,682
932,504,654,662
933,517,676,666
934,519,680,677
935,519,694,650
936,533,685,641
937,525,659,634
938,537,721,653
939,552,827,640
940,559,697,602
941,571,702,635
942,551,704,631
943,544,672,640
944,533,709,612
945,515,710,606
946,532,713,576
947,558,730,573
948,561,720,551
949,512,722,558
950,539,721,543
951,524,718,522
952,521,709,516
953,528,722,484
954,537,723,492
955,533,705,470
956,526,689,456
957,540,711,449
958,540,684,453
959,521,674,435
960,529,679,429
961,512,666,420
962,506,675,413
963,517,662,424
964,524,655,414
965,512,630,386
966,512,630,386
967,521,632,380
968,531,609,364
969,524,585,371
970,526,625,373
971,532,581,354
972,524,591,342
973,530,567,357
974,527,544,353
975,520,544,355
976,516,547,344
977,512,547,341
978,507,541,338
979,504,546,361
980,497,533,360
981,501,527,366
982,505,510,344
983,502,529,302
984,508,496,350
985,504,496,347
986,505,508,348
987,506,501,348
988,513,503,354
989,504,502,344
990,506,500,345
991,504,502,349
992,505,501,344
993,505,500,348
994,501,509,341
995,504,505,340
996,505,504,349
997,504,505,346
998,503,504,351
999,504,504,346
1000,507,509,339
1001,505,505,346
1002,506,507,347
1003,505,505,346
1004,506,506,346
1005,504,506,346
1006,505,507,347
1007,505,507,346
1008,504,506,346
1009,505,507,345
1010,505,507,347
1011,505,506,347
1012,506,507,346
1013,505,506,347
1014,506,507,346
1015,506,506,346
1016,505,507,347
1017,505,506,347
1018,505,507,345
1019,505,506,346
1020,505,506,346
1021,504,506,347
1022,505,506,346
1023,505,507,346
1024,505,506,347
1025,505,506,346
1026,504,506,346
1027,505,506,347
1028,505,506,346
1029,504,507,347
1030,505,507,348
1031,505,506,346
1032,505,506,346
1033,506,506,346
1034,505,506,346
1035,505,506,346
1036,506,506,347
1037,505,506,347
1038,505,507,346
1039,505,506,347
1040,505,507,347
1041,506,506,346
1042,505,506,348
1043,505,506,347
1044,506,506,346
1045,505,506,346
1046,505,506,348
